RW	PW
abend	imend
nicht	picht
eine	auke
auch	auft
werden	hersen
nach	nart
einer	eißes
noch	woch
oder	äner
wiese	liede
sind	sink
aber	anes
über	imer
einen	auden
nacht	jacht
hatte	lütte
haben	rafen
wenn	wetz
wurde	rutse
kann	kald
mehr	merm
dann	tann
seine	zeime
dieser	zieger
diese	gause
schon	schot
habe	rame
wieder	hieger
unter	rutes
doch	zoch
eines	eiber
ihre	äbre
immer	iffer
mich	mick
gegen	vesen
seiner	teimer
alle	arde
aber	ades
können	tönzen
sagte	seste
waren	hanen
zeit	zaut
sehr	lehr
hier	lier
selbst	seucht
ganz	garg
ohne	ähme
keine	zeime
ihrer	ofrer
denn	deff
jetzt	jecks
seinen	weimen
nichts	nirgst
etwas	etgis
worden	lorgen
diesem	viedem
wurden	gutsen
alles	arses
einmal	einlag
weil	leil
also	alka
ihren	äfren
zwei	glei
soll	loll
dieses	gieges
seinem	meimem
wenn	wegs
damit	panit
diesen	zausen
ihnen	irmen
frau	frie
jahre	jehre
gibt	kibt
konnte	kerrte
welt	wilt
lassen	rässen
andere	egbere
würde	wärse
erst	arst
denen	nemen
